Title,Publish Date,Status,Priority,Content Type,Target Keywords,Word Count,Notes
How I Use Claude for Consulting Work,2026-02-15,Published,High,Quick Win,"Claude consulting, AI for consulting",1200,Already written - ready to publish
The Complete Guide to MECE Principle,2026-02-28,Writing,High,Pillar,"MECE principle, MECE framework examples",4000,Ultimate guide with templates
Consulting Resume Templates,2026-03-07,Planned,Medium,Quick Win,"consulting resume, MBB application",1500,Lead magnet opportunity
Framework Deep-Dive: Issue Trees,2026-03-14,Planned,Medium,Framework,"issue tree template, consulting problem solving",2000,Template included
Pyramid Principle: Definitive Guide,2026-03-21,Planned,High,Pillar,"pyramid principle, Barbara Minto",3500,Comprehensive with examples
AI vs Traditional Slide Design,2026-03-28,Planned,Medium,Quick Win,"AI slide design, consulting presentations",1200,Honest assessment
Private Equity Pitch Deck Guide,2026-04-04,Planned,High,Targeted,"PE pitch deck, private equity presentation",3000,Industry-specific
Framework Deep-Dive: BCG Matrix,2026-04-11,Planned,Medium,Framework,"BCG matrix template, growth share",1800,Template included
How to Make Slides Like McKinsey,2026-04-18,Planned,High,Pillar,"McKinsey presentation, McKinsey slides",3000,20+ slide breakdowns
First 90 Days as a Consultant,2026-04-25,Planned,Medium,Quick Win,"new consultant guide, consulting onboarding",1500,Practical advice
Investment Banking Presentation Guide,2026-05-02,Planned,High,Targeted,"IB presentation, investment banking slides",3000,Pitch book focus
Framework Deep-Dive: Porter's Five Forces,2026-05-09,Planned,Medium,Framework,"Porter five forces template",2000,Template included
Best AI Presentation Software 2026,2026-05-16,Planned,High,Pillar,"AI presentation software, AI slide generator",3500,Comparison article
The Art of the Executive Summary,2026-05-23,Planned,Medium,Quick Win,"executive summary template",1500,Before/after examples
BCG vs McKinsey vs Bain Styles,2026-05-30,Planned,Medium,Targeted,"MBB presentation styles",2500,Side-by-side comparisons
Framework Deep-Dive: 7S Framework,2026-06-06,Planned,Medium,Framework,"McKinsey 7S framework",2000,Template included
